,precision,recall,f1-score,support
Adialer.C,1.0,0.96,0.9795918367346939,25.0
Agent.FYI,1.0,1.0,1.0,27.0
Allaple.A,0.9491255961844197,0.9386792452830188,0.9438735177865613,636.0
Allaple.L,0.9796610169491525,0.9863481228668942,0.9829931972789115,293.0
Alueron.gen!J,1.0,0.8636363636363636,0.9268292682926829,44.0
Autorun.K,1.0,1.0,1.0,18.0
C2LOP.gen!g,0.8292682926829268,0.7727272727272727,0.7999999999999999,44.0
C2LOP.P,0.5,0.6086956521739131,0.5490196078431373,23.0
Dialplatform.B,1.0,0.8918918918918919,0.9428571428571428,37.0
Dontovo.A,1.0,1.0,1.0,35.0
Fakerean,1.0,0.9647058823529412,0.9820359281437125,85.0
Instantaccess,1.0,0.918918918918919,0.9577464788732395,74.0
Lolyda.AA1,0.9722222222222222,0.8974358974358975,0.9333333333333333,39.0
Lolyda.AA2,0.918918918918919,0.918918918918919,0.918918918918919,37.0
Lolyda.AA3,1.0,1.0,1.0,20.0
Lolyda.AT,1.0,0.9666666666666667,0.983050847457627,30.0
Malex.gen!J,0.40384615384615385,0.7241379310344828,0.5185185185185185,29.0
Obfuscator.AD,1.0,0.8928571428571429,0.9433962264150945,28.0
Rbot!gen,1.0,0.8108108108108109,0.8955223880597014,37.0
Skintrim.N,1.0,0.8571428571428571,0.923076923076923,7.0
Swizzor.gen!E,0.5641025641025641,0.6875,0.619718309859155,32.0
Swizzor.gen!I,0.13333333333333333,0.10526315789473684,0.11764705882352941,19.0
VB.AT,0.79,0.9753086419753086,0.8729281767955802,81.0
Wintrim.BX,1.0,0.7307692307692307,0.8444444444444443,26.0
Yuner.A,1.0,1.0,1.0,142.0
accuracy,0.9223768736616702,0.9223768736616702,0.9223768736616702,0.9223768736616702
macro avg,0.8816191239295875,0.8588965842142907,0.8654200849405163,1868.0
weighted avg,0.9324813610975705,0.9223768736616702,0.9252242226779628,1868.0
