,precision,recall,f1-score,support
Adialer.C,1.0,1.0,1.0,25.0
Agent.FYI,1.0,1.0,1.0,27.0
Allaple.A,0.9769585253456221,1.0,0.9883449883449883,636.0
Allaple.L,1.0,1.0,1.0,293.0
Alueron.gen!J,1.0,0.9545454545454546,0.9767441860465117,44.0
Autorun.K,1.0,1.0,1.0,18.0
C2LOP.gen!g,0.8,1.0,0.888888888888889,44.0
C2LOP.P,0.8260869565217391,0.8260869565217391,0.8260869565217391,23.0
Dialplatform.B,1.0,1.0,1.0,37.0
Dontovo.A,1.0,1.0,1.0,35.0
Fakerean,1.0,0.9647058823529412,0.9820359281437125,85.0
Instantaccess,1.0,0.9864864864864865,0.9931972789115647,74.0
Lolyda.AA1,1.0,1.0,1.0,39.0
Lolyda.AA2,1.0,1.0,1.0,37.0
Lolyda.AA3,1.0,1.0,1.0,20.0
Lolyda.AT,1.0,1.0,1.0,30.0
Malex.gen!J,1.0,0.896551724137931,0.9454545454545454,29.0
Obfuscator.AD,1.0,1.0,1.0,28.0
Rbot!gen,0.9736842105263158,1.0,0.9866666666666666,37.0
Skintrim.N,1.0,1.0,1.0,7.0
Swizzor.gen!E,0.7272727272727273,0.5,0.5925925925925926,32.0
Swizzor.gen!I,0.3888888888888889,0.3684210526315789,0.37837837837837834,19.0
VB.AT,1.0,1.0,1.0,81.0
Wintrim.BX,1.0,0.7307692307692307,0.8444444444444443,26.0
Yuner.A,1.0,1.0,1.0,142.0
accuracy,0.974304068522484,0.974304068522484,0.974304068522484,0.974304068522484
macro avg,0.9477156523422117,0.9291026714978144,0.9361133941757613,1868.0
weighted avg,0.9738937655625832,0.974304068522484,0.9730607476492494,1868.0
