,precision,recall,f1-score,support
Adialer.C,1.0,1.0,1.0,25.0
Agent.FYI,1.0,1.0,1.0,27.0
Allaple.A,1.0,0.9984276729559748,0.9992132179386309,636.0
Allaple.L,1.0,1.0,1.0,293.0
Alueron.gen!J,1.0,1.0,1.0,44.0
Autorun.K,1.0,1.0,1.0,18.0
C2LOP.gen!g,0.7166666666666667,0.9772727272727273,0.826923076923077,44.0
C2LOP.P,0.7619047619047619,0.6956521739130435,0.7272727272727272,23.0
Dialplatform.B,1.0,1.0,1.0,37.0
Dontovo.A,1.0,1.0,1.0,35.0
Fakerean,1.0,0.9647058823529412,0.9820359281437125,85.0
Instantaccess,1.0,1.0,1.0,74.0
Lolyda.AA1,1.0,1.0,1.0,39.0
Lolyda.AA2,1.0,1.0,1.0,37.0
Lolyda.AA3,1.0,1.0,1.0,20.0
Lolyda.AT,1.0,1.0,1.0,30.0
Malex.gen!J,1.0,0.9655172413793104,0.9824561403508771,29.0
Obfuscator.AD,1.0,1.0,1.0,28.0
Rbot!gen,0.9736842105263158,1.0,0.9866666666666666,37.0
Skintrim.N,0.875,1.0,0.9333333333333333,7.0
Swizzor.gen!E,0.75,0.5625,0.6428571428571429,32.0
Swizzor.gen!I,0.5,0.3684210526315789,0.4242424242424242,19.0
VB.AT,1.0,0.9876543209876543,0.9937888198757764,81.0
Wintrim.BX,0.896551724137931,1.0,0.9454545454545454,26.0
Yuner.A,1.0,1.0,1.0,142.0
accuracy,0.9785867237687366,0.9785867237687366,0.9785867237687366,0.9785867237687366
macro avg,0.938952294529427,0.9408060428597292,0.9377697609223565,1868.0
weighted avg,0.9785967898684169,0.9785867237687366,0.9776908586226118,1868.0
