,precision,recall,f1-score,support
Adialer.C,1.0,1.0,1.0,25.0
Agent.FYI,1.0,1.0,1.0,27.0
Allaple.A,0.9984301412872841,1.0,0.9992144540455618,636.0
Allaple.L,1.0,1.0,1.0,293.0
Alueron.gen!J,1.0,1.0,1.0,44.0
Autorun.K,1.0,1.0,1.0,18.0
C2LOP.gen!g,0.9318181818181818,0.9318181818181818,0.9318181818181818,44.0
C2LOP.P,0.7727272727272727,0.7391304347826086,0.7555555555555555,23.0
Dialplatform.B,1.0,1.0,1.0,37.0
Dontovo.A,1.0,1.0,1.0,35.0
Fakerean,1.0,0.9764705882352941,0.988095238095238,85.0
Instantaccess,1.0,1.0,1.0,74.0
Lolyda.AA1,1.0,1.0,1.0,39.0
Lolyda.AA2,1.0,1.0,1.0,37.0
Lolyda.AA3,1.0,1.0,1.0,20.0
Lolyda.AT,1.0,1.0,1.0,30.0
Malex.gen!J,1.0,0.9655172413793104,0.9824561403508771,29.0
Obfuscator.AD,1.0,1.0,1.0,28.0
Rbot!gen,1.0,1.0,1.0,37.0
Skintrim.N,1.0,1.0,1.0,7.0
Swizzor.gen!E,0.7307692307692307,0.59375,0.6551724137931033,32.0
Swizzor.gen!I,0.37037037037037035,0.5263157894736842,0.43478260869565216,19.0
VB.AT,1.0,1.0,1.0,81.0
Wintrim.BX,0.9629629629629629,1.0,0.9811320754716981,26.0
Yuner.A,1.0,1.0,1.0,142.0
accuracy,0.9817987152034261,0.9817987152034261,0.9817987152034261,0.9817987152034261
macro avg,0.950683126397412,0.9493200894275631,0.9491290667130347,1868.0
weighted avg,0.9835294360760863,0.9817987152034261,0.9823840014067916,1868.0
