,precision,recall,f1-score,support
Adialer.C,1.0,0.96,0.9795918367346939,25.0
Agent.FYI,0.875,0.7777777777777778,0.823529411764706,27.0
Allaple.A,0.8963893249607535,0.8977987421383647,0.8970934799685781,636.0
Allaple.L,0.8282828282828283,0.8395904436860068,0.8338983050847457,293.0
Alueron.gen!J,0.7317073170731707,0.6818181818181818,0.7058823529411764,44.0
Autorun.K,1.0,1.0,1.0,18.0
C2LOP.gen!g,0.5,0.5,0.5,44.0
C2LOP.P,0.19230769230769232,0.21739130434782608,0.20408163265306123,23.0
Dialplatform.B,0.9444444444444444,0.918918918918919,0.9315068493150684,37.0
Dontovo.A,0.9459459459459459,1.0,0.9722222222222222,35.0
Fakerean,0.9880952380952381,0.9764705882352941,0.9822485207100591,85.0
Instantaccess,0.9436619718309859,0.9054054054054054,0.9241379310344827,74.0
Lolyda.AA1,0.875,0.8974358974358975,0.8860759493670887,39.0
Lolyda.AA2,0.8717948717948718,0.918918918918919,0.8947368421052632,37.0
Lolyda.AA3,1.0,1.0,1.0,20.0
Lolyda.AT,0.8666666666666667,0.8666666666666667,0.8666666666666667,30.0
Malex.gen!J,0.46875,0.5172413793103449,0.4918032786885246,29.0
Obfuscator.AD,0.9,0.9642857142857143,0.9310344827586207,28.0
Rbot!gen,0.8378378378378378,0.8378378378378378,0.8378378378378378,37.0
Skintrim.N,0.4,0.5714285714285714,0.47058823529411764,7.0
Swizzor.gen!E,0.23809523809523808,0.15625,0.18867924528301888,32.0
Swizzor.gen!I,0.12,0.15789473684210525,0.13636363636363635,19.0
VB.AT,0.8378378378378378,0.7654320987654321,0.8,81.0
Wintrim.BX,0.6785714285714286,0.7307692307692307,0.7037037037037038,26.0
Yuner.A,0.993006993006993,1.0,0.9964912280701755,142.0
accuracy,0.8452890792291221,0.8452890792291221,0.8452890792291221,0.8452890792291221
macro avg,0.7573358254700773,0.7623732965835398,0.758326945942698,1868.0
weighted avg,0.8465172563343245,0.8452890792291221,0.8454210969900109,1868.0
