,precision,recall,f1-score,support
Adialer.C,1.0,1.0,1.0,25.0
Agent.FYI,1.0,1.0,1.0,27.0
Allaple.A,0.9984301412872841,1.0,0.9992144540455618,636.0
Allaple.L,1.0,1.0,1.0,293.0
Alueron.gen!J,1.0,1.0,1.0,44.0
Autorun.K,1.0,1.0,1.0,18.0
C2LOP.gen!g,0.8775510204081632,0.9772727272727273,0.9247311827956989,44.0
C2LOP.P,0.76,0.8260869565217391,0.7916666666666667,23.0
Dialplatform.B,1.0,1.0,1.0,37.0
Dontovo.A,1.0,1.0,1.0,35.0
Fakerean,1.0,0.9764705882352941,0.988095238095238,85.0
Instantaccess,1.0,1.0,1.0,74.0
Lolyda.AA1,1.0,1.0,1.0,39.0
Lolyda.AA2,1.0,1.0,1.0,37.0
Lolyda.AA3,1.0,1.0,1.0,20.0
Lolyda.AT,1.0,1.0,1.0,30.0
Malex.gen!J,1.0,0.9655172413793104,0.9824561403508771,29.0
Obfuscator.AD,1.0,1.0,1.0,28.0
Rbot!gen,1.0,1.0,1.0,37.0
Skintrim.N,1.0,1.0,1.0,7.0
Swizzor.gen!E,0.7692307692307693,0.625,0.6896551724137931,32.0
Swizzor.gen!I,0.42105263157894735,0.42105263157894735,0.42105263157894735,19.0
VB.AT,1.0,1.0,1.0,81.0
Wintrim.BX,0.9629629629629629,1.0,0.9811320754716981,26.0
Yuner.A,1.0,1.0,1.0,142.0
accuracy,0.9834047109207709,0.9834047109207709,0.9834047109207709,0.9834047109207709
macro avg,0.9515691010187252,0.9516560057995207,0.9511201424567391,1868.0
weighted avg,0.9832688631740328,0.9834047109207709,0.9831127521076541,1868.0
