,precision,recall,f1-score,support
Adialer.C,1.0,1.0,1.0,25.0
Agent.FYI,1.0,1.0,1.0,27.0
Allaple.A,0.9694656488549618,0.9984276729559748,0.9837335398915569,636.0
Allaple.L,1.0,1.0,1.0,293.0
Alueron.gen!J,1.0,0.9772727272727273,0.9885057471264368,44.0
Autorun.K,1.0,1.0,1.0,18.0
C2LOP.gen!g,0.8148148148148148,1.0,0.8979591836734693,44.0
C2LOP.P,0.782608695652174,0.782608695652174,0.782608695652174,23.0
Dialplatform.B,1.0,1.0,1.0,37.0
Dontovo.A,1.0,1.0,1.0,35.0
Fakerean,1.0,0.9647058823529412,0.9820359281437125,85.0
Instantaccess,1.0,0.9864864864864865,0.9931972789115647,74.0
Lolyda.AA1,1.0,1.0,1.0,39.0
Lolyda.AA2,0.9736842105263158,1.0,0.9866666666666666,37.0
Lolyda.AA3,1.0,1.0,1.0,20.0
Lolyda.AT,1.0,1.0,1.0,30.0
Malex.gen!J,1.0,0.6551724137931034,0.7916666666666666,29.0
Obfuscator.AD,1.0,1.0,1.0,28.0
Rbot!gen,1.0,1.0,1.0,37.0
Skintrim.N,1.0,1.0,1.0,7.0
Swizzor.gen!E,0.7272727272727273,0.5,0.5925925925925926,32.0
Swizzor.gen!I,0.38095238095238093,0.42105263157894735,0.4,19.0
VB.AT,1.0,1.0,1.0,81.0
Wintrim.BX,1.0,0.7307692307692307,0.8444444444444443,26.0
Yuner.A,1.0,1.0,1.0,142.0
accuracy,0.9705567451820128,0.9705567451820128,0.9705567451820128,0.9705567451820128
macro avg,0.945951939122935,0.9206598296344635,0.9297364297507713,1868.0
weighted avg,0.9710755582569078,0.9705567451820128,0.969278457910287,1868.0
