,precision,recall,f1-score,support
Adialer.C,1.0,1.0,1.0,25.0
Agent.FYI,1.0,1.0,1.0,27.0
Allaple.A,0.9984276729559748,0.9984276729559748,0.9984276729559748,636.0
Allaple.L,1.0,1.0,1.0,293.0
Alueron.gen!J,1.0,1.0,1.0,44.0
Autorun.K,1.0,1.0,1.0,18.0
C2LOP.gen!g,0.6567164179104478,1.0,0.7927927927927928,44.0
C2LOP.P,0.7894736842105263,0.6521739130434783,0.7142857142857143,23.0
Dialplatform.B,1.0,1.0,1.0,37.0
Dontovo.A,1.0,1.0,1.0,35.0
Fakerean,1.0,0.9647058823529412,0.9820359281437125,85.0
Instantaccess,1.0,1.0,1.0,74.0
Lolyda.AA1,1.0,1.0,1.0,39.0
Lolyda.AA2,1.0,1.0,1.0,37.0
Lolyda.AA3,1.0,1.0,1.0,20.0
Lolyda.AT,1.0,1.0,1.0,30.0
Malex.gen!J,1.0,0.9655172413793104,0.9824561403508771,29.0
Obfuscator.AD,1.0,1.0,1.0,28.0
Rbot!gen,0.9736842105263158,1.0,0.9866666666666666,37.0
Skintrim.N,1.0,1.0,1.0,7.0
Swizzor.gen!E,0.7037037037037037,0.59375,0.6440677966101694,32.0
Swizzor.gen!I,0.5,0.15789473684210525,0.23999999999999996,19.0
VB.AT,1.0,1.0,1.0,81.0
Wintrim.BX,0.9285714285714286,1.0,0.962962962962963,26.0
Yuner.A,1.0,1.0,1.0,142.0
accuracy,0.9775160599571735,0.9775160599571735,0.9775160599571735,0.9775160599571735
macro avg,0.9420230847151358,0.9332987778629525,0.9321478269907548,1868.0
weighted avg,0.9771098011647491,0.9775160599571735,0.9753691699513246,1868.0
