,precision,recall,f1-score,support
Adialer.C,1.0,0.88,0.9361702127659575,25.0
Agent.FYI,1.0,1.0,1.0,27.0
Allaple.A,0.9117221418234442,0.9905660377358491,0.9495101733232856,636.0
Allaple.L,0.9895470383275261,0.9692832764505119,0.979310344827586,293.0
Alueron.gen!J,1.0,0.75,0.8571428571428571,44.0
Autorun.K,1.0,1.0,1.0,18.0
C2LOP.gen!g,0.9,0.6136363636363636,0.7297297297297297,44.0
C2LOP.P,0.5384615384615384,0.6086956521739131,0.5714285714285715,23.0
Dialplatform.B,1.0,0.9459459459459459,0.9722222222222222,37.0
Dontovo.A,1.0,1.0,1.0,35.0
Fakerean,1.0,0.9647058823529412,0.9820359281437125,85.0
Instantaccess,1.0,0.8918918918918919,0.9428571428571428,74.0
Lolyda.AA1,1.0,0.9487179487179487,0.9736842105263158,39.0
Lolyda.AA2,1.0,0.9459459459459459,0.9722222222222222,37.0
Lolyda.AA3,1.0,1.0,1.0,20.0
Lolyda.AT,1.0,0.9,0.9473684210526316,30.0
Malex.gen!J,0.9473684210526315,0.6206896551724138,0.75,29.0
Obfuscator.AD,1.0,0.8571428571428571,0.923076923076923,28.0
Rbot!gen,1.0,0.8108108108108109,0.8955223880597014,37.0
Skintrim.N,1.0,1.0,1.0,7.0
Swizzor.gen!E,0.5714285714285714,0.375,0.4528301886792453,32.0
Swizzor.gen!I,0.2,0.3684210526315789,0.25925925925925924,19.0
VB.AT,0.8,0.9876543209876543,0.8839779005524862,81.0
Wintrim.BX,1.0,0.7307692307692307,0.8444444444444443,26.0
Yuner.A,1.0,1.0,1.0,142.0
accuracy,0.9266595289079229,0.9266595289079229,0.9266595289079229,0.9266595289079229
macro avg,0.9143411084437486,0.8463950748946343,0.8729117256125718,1868.0
weighted avg,0.9352979541276936,0.9266595289079229,0.9269187960230285,1868.0
