,precision,recall,f1-score,support
Adialer.C,1.0,1.0,1.0,25.0
Agent.FYI,1.0,1.0,1.0,27.0
Allaple.A,1.0,1.0,1.0,636.0
Allaple.L,1.0,1.0,1.0,293.0
Alueron.gen!J,1.0,1.0,1.0,44.0
Autorun.K,1.0,1.0,1.0,18.0
C2LOP.gen!g,0.9318181818181818,0.9318181818181818,0.9318181818181818,44.0
C2LOP.P,0.7692307692307693,0.8695652173913043,0.8163265306122449,23.0
Dialplatform.B,1.0,1.0,1.0,37.0
Dontovo.A,1.0,1.0,1.0,35.0
Fakerean,1.0,0.9764705882352941,0.988095238095238,85.0
Instantaccess,1.0,1.0,1.0,74.0
Lolyda.AA1,1.0,1.0,1.0,39.0
Lolyda.AA2,0.9736842105263158,1.0,0.9866666666666666,37.0
Lolyda.AA3,1.0,1.0,1.0,20.0
Lolyda.AT,1.0,1.0,1.0,30.0
Malex.gen!J,0.9655172413793104,0.9655172413793104,0.9655172413793104,29.0
Obfuscator.AD,1.0,1.0,1.0,28.0
Rbot!gen,1.0,1.0,1.0,37.0
Skintrim.N,1.0,1.0,1.0,7.0
Swizzor.gen!E,0.6666666666666666,0.4375,0.5283018867924528,32.0
Swizzor.gen!I,0.39285714285714285,0.5789473684210527,0.46808510638297873,19.0
VB.AT,1.0,1.0,1.0,81.0
Wintrim.BX,1.0,1.0,1.0,26.0
Yuner.A,1.0,1.0,1.0,142.0
accuracy,0.9812633832976445,0.9812633832976445,0.9812633832976445,0.9812633832976445
macro avg,0.9479909684991354,0.9503927438898058,0.9473924340698829,1868.0
weighted avg,0.9826104082063172,0.9812633832976445,0.9813006153680291,1868.0
