,precision,recall,f1-score,support
Adialer.C,1.0,0.96,0.9795918367346939,25.0
Agent.FYI,0.8888888888888888,0.8888888888888888,0.8888888888888888,27.0
Allaple.A,0.9022082018927445,0.89937106918239,0.9007874015748032,636.0
Allaple.L,0.8487972508591065,0.8430034129692833,0.845890410958904,293.0
Alueron.gen!J,0.8,0.8181818181818182,0.8089887640449439,44.0
Autorun.K,1.0,1.0,1.0,18.0
C2LOP.gen!g,0.39285714285714285,0.25,0.3055555555555556,44.0
C2LOP.P,0.13333333333333333,0.17391304347826086,0.15094339622641512,23.0
Dialplatform.B,1.0,0.9459459459459459,0.9722222222222222,37.0
Dontovo.A,1.0,1.0,1.0,35.0
Fakerean,0.8913043478260869,0.9647058823529412,0.9265536723163841,85.0
Instantaccess,0.958904109589041,0.9459459459459459,0.9523809523809523,74.0
Lolyda.AA1,0.85,0.8717948717948718,0.8607594936708861,39.0
Lolyda.AA2,0.8048780487804879,0.8918918918918919,0.8461538461538461,37.0
Lolyda.AA3,0.9523809523809523,1.0,0.975609756097561,20.0
Lolyda.AT,0.7352941176470589,0.8333333333333334,0.78125,30.0
Malex.gen!J,0.625,0.6896551724137931,0.6557377049180328,29.0
Obfuscator.AD,1.0,1.0,1.0,28.0
Rbot!gen,0.8,0.7567567567567568,0.7777777777777778,37.0
Skintrim.N,0.2777777777777778,0.7142857142857143,0.4,7.0
Swizzor.gen!E,0.2608695652173913,0.1875,0.21818181818181817,32.0
Swizzor.gen!I,0.09375,0.15789473684210525,0.11764705882352941,19.0
VB.AT,0.7727272727272727,0.6296296296296297,0.6938775510204083,81.0
Wintrim.BX,0.6521739130434783,0.5769230769230769,0.6122448979591837,26.0
Yuner.A,0.993006993006993,1.0,0.9964912280701755,142.0
accuracy,0.8394004282655246,0.8394004282655246,0.8394004282655246,0.8394004282655246
macro avg,0.7453660766331103,0.7599848476326659,0.7467013693430793,1868.0
weighted avg,0.8437708995091185,0.8394004282655246,0.8400514407495004,1868.0
