,precision,recall,f1-score,support
Adialer.C,1.0,1.0,1.0,25.0
Agent.FYI,1.0,1.0,1.0,27.0
Allaple.A,0.9875583203732504,0.9984276729559748,0.9929632525410477,636.0
Allaple.L,1.0,1.0,1.0,293.0
Alueron.gen!J,0.9777777777777777,1.0,0.9887640449438202,44.0
Autorun.K,1.0,1.0,1.0,18.0
C2LOP.gen!g,0.7857142857142857,1.0,0.88,44.0
C2LOP.P,0.7894736842105263,0.6521739130434783,0.7142857142857143,23.0
Dialplatform.B,1.0,1.0,1.0,37.0
Dontovo.A,1.0,1.0,1.0,35.0
Fakerean,1.0,0.9647058823529412,0.9820359281437125,85.0
Instantaccess,0.9866666666666667,1.0,0.9932885906040269,74.0
Lolyda.AA1,1.0,1.0,1.0,39.0
Lolyda.AA2,1.0,1.0,1.0,37.0
Lolyda.AA3,1.0,1.0,1.0,20.0
Lolyda.AT,1.0,1.0,1.0,30.0
Malex.gen!J,1.0,0.7931034482758621,0.8846153846153846,29.0
Obfuscator.AD,1.0,1.0,1.0,28.0
Rbot!gen,1.0,1.0,1.0,37.0
Skintrim.N,1.0,1.0,1.0,7.0
Swizzor.gen!E,0.6842105263157895,0.40625,0.5098039215686275,32.0
Swizzor.gen!I,0.4166666666666667,0.5263157894736842,0.46511627906976744,19.0
VB.AT,0.9759036144578314,1.0,0.9878048780487805,81.0
Wintrim.BX,1.0,0.9230769230769231,0.9600000000000001,26.0
Yuner.A,1.0,1.0,1.0,142.0
accuracy,0.974304068522484,0.974304068522484,0.974304068522484,0.974304068522484
macro avg,0.9441588616873118,0.9305621451671545,0.9343471197528354,1868.0
weighted avg,0.9746849929877247,0.974304068522484,0.9731971111817123,1868.0
