,precision,recall,f1-score,support
Adialer.C,1.0,1.0,1.0,25.0
Agent.FYI,1.0,1.0,1.0,27.0
Allaple.A,0.9952978056426333,0.9984276729559748,0.9968602825745683,636.0
Allaple.L,1.0,1.0,1.0,293.0
Alueron.gen!J,0.9777777777777777,1.0,0.9887640449438202,44.0
Autorun.K,1.0,1.0,1.0,18.0
C2LOP.gen!g,0.7924528301886793,0.9545454545454546,0.865979381443299,44.0
C2LOP.P,0.782608695652174,0.782608695652174,0.782608695652174,23.0
Dialplatform.B,1.0,1.0,1.0,37.0
Dontovo.A,1.0,1.0,1.0,35.0
Fakerean,1.0,0.9647058823529412,0.9820359281437125,85.0
Instantaccess,1.0,1.0,1.0,74.0
Lolyda.AA1,1.0,1.0,1.0,39.0
Lolyda.AA2,0.9736842105263158,1.0,0.9866666666666666,37.0
Lolyda.AA3,1.0,1.0,1.0,20.0
Lolyda.AT,1.0,1.0,1.0,30.0
Malex.gen!J,1.0,0.9310344827586207,0.9642857142857143,29.0
Obfuscator.AD,1.0,1.0,1.0,28.0
Rbot!gen,1.0,0.972972972972973,0.9863013698630138,37.0
Skintrim.N,0.875,1.0,0.9333333333333333,7.0
Swizzor.gen!E,0.6521739130434783,0.46875,0.5454545454545454,32.0
Swizzor.gen!I,0.3333333333333333,0.3684210526315789,0.35,19.0
VB.AT,1.0,0.9876543209876543,0.9937888198757764,81.0
Wintrim.BX,1.0,1.0,1.0,26.0
Yuner.A,1.0,1.0,1.0,142.0
accuracy,0.9764453961456103,0.9764453961456103,0.9764453961456103,0.9764453961456103
macro avg,0.9352931426465756,0.9371648213942947,0.935043151289465,1868.0
weighted avg,0.9765812449033391,0.9764453961456103,0.9760084478770742,1868.0
