,precision,recall,f1-score,support
Adialer.C,1.0,0.92,0.9583333333333334,25.0
Agent.FYI,1.0,0.8888888888888888,0.9411764705882353,27.0
Allaple.A,0.9702797202797203,0.8726415094339622,0.9188741721854304,636.0
Allaple.L,0.962457337883959,0.962457337883959,0.962457337883959,293.0
Alueron.gen!J,1.0,0.9545454545454546,0.9767441860465117,44.0
Autorun.K,1.0,1.0,1.0,18.0
C2LOP.gen!g,0.7727272727272727,0.7727272727272727,0.7727272727272727,44.0
C2LOP.P,0.3448275862068966,0.43478260869565216,0.38461538461538464,23.0
Dialplatform.B,1.0,0.972972972972973,0.9863013698630138,37.0
Dontovo.A,1.0,1.0,1.0,35.0
Fakerean,1.0,0.9647058823529412,0.9820359281437125,85.0
Instantaccess,1.0,0.972972972972973,0.9863013698630138,74.0
Lolyda.AA1,0.975,1.0,0.9873417721518987,39.0
Lolyda.AA2,1.0,1.0,1.0,37.0
Lolyda.AA3,1.0,1.0,1.0,20.0
Lolyda.AT,1.0,0.9666666666666667,0.983050847457627,30.0
Malex.gen!J,0.33783783783783783,0.8620689655172413,0.4854368932038835,29.0
Obfuscator.AD,1.0,0.9285714285714286,0.962962962962963,28.0
Rbot!gen,1.0,0.8648648648648649,0.927536231884058,37.0
Skintrim.N,0.875,1.0,0.9333333333333333,7.0
Swizzor.gen!E,0.5128205128205128,0.625,0.5633802816901409,32.0
Swizzor.gen!I,0.16666666666666666,0.2631578947368421,0.2040816326530612,19.0
VB.AT,0.851063829787234,0.9876543209876543,0.9142857142857143,81.0
Wintrim.BX,0.8518518518518519,0.8846153846153846,0.8679245283018868,26.0
Yuner.A,1.0,1.0,1.0,142.0
accuracy,0.9089935760171306,0.9089935760171306,0.9089935760171306,0.9089935760171306
macro avg,0.864821304642478,0.8839717770573664,0.8679560409269773,1868.0
weighted avg,0.9339601045587769,0.9089935760171306,0.9180776431865184,1868.0
